patent_id,citation_patent_id,fwd_cit_bwd
10047357,4683195,0
10047359,4683195,0
10047359,4889818,1
10047367,4683195,0
10047368,4683195,0
10047388,4683195,0
10047390,4683195,0
10047390,4965188,1
10047394,6787308,0
10047403,4683195,0
10048208,5471515,0
10048253,5770429,1
10048284,4683195,0
10048563,5961804,1
10048563,6124851,1
10048564,5961804,1
10048564,6124851,1
10049017,6671821,1
10049051,6108703,1
10049207,5297148,1
10049357,4405829,0
10049385,5960411,0
10049521,5291560,0
10049627,5751384,0
10049663,7166791,1
10049668,7166791,1
10049675,7166791,1
10051011,7197462,0
10052174,4575330,0
10052176,4575330,0
10052191,6387981,0
10052203,4733665,0
10052231,4744360,0
10052315,5811097,0
10052371,5811097,0
10052605,4683195,0
10052605,6023540,0
10052632,6787308,0
10052682,4575330,0
10053012,5471515,0
10053484,4683195,0
10053484,4889818,1
10053504,4816567,0
10053510,5179017,1
10053510,5770429,1
10053510,5939598,1
10053668,4816567,0
10053685,4683195,0
10053685,4965188,1
10053688,4415732,0
10053688,6787308,0
10053734,4683195,0
10053734,4816567,0
10053736,4683195,0
10054094,6387981,1
10054094,6572693,1
10054857,5061049,0
10055150,5297148,0
10055461,6285999,0
10055539,4683195,0
10055591,8555353,0
10055651,5471515,0
10055719,5960411,0
10055733,4641349,0
10055733,5291560,1
10055768,6141060,1
10055772,5960411,1
10056548,4539507,0
10057057,4405829,0
10057268,5960411,0
10057489,5471515,0
10057734,7197462,0
10057736,7166791,1
10058091,4925572,0
10058244,5108388,1
10058284,4733665,0
10058284,4816567,0
10058330,4733665,1
10058334,4469099,0
10058350,6770074,0
10058370,4784135,0
10058404,4575330,0
10058421,4733665,1
10058424,4733665,0
10058559,4816567,0
10058599,4816567,0
10058619,4683195,0
10058621,4816567,0
10058641,4733665,1
10058642,4418691,0
10058837,4757128,0
10059058,4575330,0
10059059,4575330,0
10059062,4575330,0
10059657,4683195,0
10059746,4816567,0
10059746,5939598,0
10059762,4816567,0
10059768,4816567,0
10059768,5770429,0
10059776,4816567,0
10059898,4827064,0
10059898,4827073,0
10059936,4816397,0
10059991,6787308,0
10059997,4683195,0
10060909,4683195,0
10060916,5077210,0
10061318,5960411,0
10061478,7166791,1
10061558,4870302,1
10061699,4128880,0
10061749,6108703,0
10061817,6285999,0
10061915,4405829,0
10062260,5960411,0
10062788,5998833,1
10063442,6108703,0
10063461,7197462,0
10063653,6108703,0
10063713,7197462,0
10063799,5471515,0
10063934,5960411,0
10064144,5103459,0
10064398,5770429,0
10064398,5939598,1
10064404,4683195,0
10064404,4889818,1
10064404,4965188,1
10064540,5471515,0
10064619,4733665,1
10064718,4733665,0
10064747,4733665,1
10064754,4744360,0
10064755,4744360,0
10064898,4816567,0
10064959,4415732,0
10064959,4816567,0
10064982,4733665,1
10065134,4925572,0
10065185,4599315,0
10065185,4683195,0
10065186,4683195,0
10065186,4965188,1
10065189,4415732,0
10065189,4683195,0
10065189,4893886,0
10065189,4965188,1
10065879,3994711,1
10066002,4816567,0
10066012,5939598,1
10066184,4827064,0
10066184,4827073,0
10066233,4683195,0
10066240,4683195,0
10066259,4683195,0
10066265,4683195,0
10066265,4965188,1
10066265,6787308,0
10066782,4017168,1
10067572,5184830,0
10067938,7166791,1
10068080,4641349,0
10068080,5291560,1
10068220,5960411,1
10068224,4405829,0
10068406,5291560,0
10069005,5998833,1
10069773,7197462,0
10069924,6285999,0
10069996,5061049,0
10070772,5471515,0
10070783,5108388,1
10070827,4733665,0
10070827,4816567,0
10070923,4744360,0
10070936,6770074,1
10070968,4733665,0
10070975,4733665,0
10071162,3950333,0
10071169,4816567,0
10071169,7807619,0
10071266,4575330,0
10071283,5961804,1
10071376,4599315,0
10071376,4683195,0
10071676,5471515,0
10071689,5471515,0
10072069,5770429,1
10072069,5939598,1
10072072,6331415,0
10072075,4816567,0
10072080,4816567,0
10072090,4816397,0
10072090,5770429,1
10072092,4816567,0
10072259,4683195,0
10072283,4889818,1
10072287,4683195,0
10072287,6787308,0
10073035,7535012,1
10073035,7776613,1
10073098,4816567,0
10073108,4683195,0
10073108,4965188,1
10073115,4870302,0
10073488,8264458,0
10074011,4641349,0
10074011,5291560,1
10074360,7166791,1
10074744,5998833,0
10075168,4870302,0
10075169,4870302,0
10075551,6108703,1
10075626,5471515,0
10075746,5960411,0
10076103,5770429,1
10076103,5939598,1
10076399,4733665,1
10076411,4733665,0
10076412,4733665,0
10076444,4744360,0
10076483,4235893,0
10076571,5939598,0
10076591,4733665,1
10076754,4599315,0
10076754,4683195,0
10076880,5960411,0
10077300,4816567,0
10077304,4683195,0
10077304,4816567,0
10077304,5770429,1
10077304,5939598,1
10077306,4683195,0
10077306,4816567,0
10077306,5179017,1
10077306,5770429,1
10077306,5811097,0
10077306,5939598,1
10077315,4816567,0
10077409,4827064,0
10077409,4827073,0
10077420,4683195,0
10077420,4736866,0
10077420,4965188,1
10077439,4816567,0
10077473,4683195,0
10077473,4965188,1
10077473,6787308,0
10077475,4683195,0
10077478,4683195,0
10077478,4965188,1
10077478,6787308,0
10077543,8264458,0
10078330,8649899,0
10078604,5297148,0
10078631,7166791,1
10078724,4683195,0
10078782,5291560,0
10078789,5471515,0
10078819,6285999,0
10078968,4405829,0
10079014,7166791,1
10079681,4405829,0
10079737,6285999,0
10079742,6108703,1
10080006,4970663,0
10080495,4641349,0
10080627,4575330,0
10080652,4733665,1
10080790,4816397,0
10080790,4816567,0
10080790,6331415,1
10080821,4733665,0
10081679,4816567,0
10081807,4683195,0
10081807,4965188,1
10081815,4683195,0
10081815,4965188,1
10081836,6787308,0
10081844,4683195,0
10082622,7903917,1
10082966,5297148,0
10083688,7166791,1
10083690,7166791,1
10084146,4539507,0
10084453,4870302,0
10085446,4827064,0
10085500,3953566,0
10085546,7166791,0
10085823,4575330,0
10085859,4733665,0
10085886,4784135,0
10086054,4816567,0
10086054,5061620,0
10086076,4816397,0
10086076,4816567,0
10086076,5939598,0
10086085,4816397,0
10086085,4816567,0
10086178,4733665,1
10086566,4575330,0
10086597,4676586,1
10086747,5471515,0
10086870,5471515,0
10087208,4415732,0
10087227,4736866,0
10087227,4816567,0
10087236,4816567,0
10087236,5061620,0
10087252,4816567,0
10087253,4816397,0
10087255,4816567,0
10087256,5770429,1
10087259,4816567,0
10087344,5961804,1
10087439,4683195,0
10087440,4683195,0
10087440,4889818,1
10087440,4965188,1
10087445,4683195,0
10087445,4889818,1
10087538,4623597,0
10088478,4816567,0
10088732,6124851,0
10088939,4405829,0
10088976,6199042,1
10089072,7166791,1
10089437,6787308,0
10089453,5291560,0
10089526,5291560,0
10089537,5471515,0
10089541,5471515,0
10089550,6141060,1
10089667,5960411,1
10089812,5291560,0
10089986,6285999,0
10091096,6108703,1
10091121,6108703,1
10091335,5960411,1
10091897,7166791,0
10092172,5471515,0
10092357,4053845,0
10092363,4053845,0
10092427,3953566,0
10092504,5061620,0
10092524,4757128,0
10092555,4683195,0
10092578,4164560,0
10092578,4757128,0
10092628,4683195,0
10092688,4031893,0
10092782,3953566,0
10093064,4575330,0
10093725,4816567,0
10093725,5939598,1
10093733,4816567,0
10093733,5939598,0
10093887,4683195,0
10093887,4965188,1
10093908,4683195,0
10093908,4965188,1
10093967,4415732,0
10093978,4816567,0
10093981,6787308,0
10094800,4683195,0
10094800,4889818,1
10094836,4683195,0
10094836,4816567,0
10094836,4965188,1
